Theme,,,,,,,,,,,,,,,,,,
party,champagne for dinner 🥂,entering my reputation era,✨my ride to dies ✨,pov: ur the bathroom mirror (mirror selfies),drunk in an elevator,if life was a movie,do you got plans tonight 🌃,Parallel Connection,none,none,none,none,none,none,none,none,none,none
drinks,champagne for dinner 🥂,entering my reputation era,✨my ride to dies ✨,pov: ur the bathroom mirror (mirror selfies),drunk in an elevator,if life was a movie,do you got plans tonight 🌃,Parallel Connection,none,none,none,none,none,none,none,none,none,none
alcohol,champagne for dinner 🥂,entering my reputation era,✨my ride to dies ✨,pov: ur the bathroom mirror (mirror selfies),drunk in an elevator,if life was a movie,do you got plans tonight 🌃,Parallel Connection,none,none,none,none,none,none,none,none,none,none
books,"went there for the books, left without brain cells",study date 💕,"hey. just working, working hard so i can please you",reading in cafes 📖 ,hot girl stuff 🔥,coffee + books = 💌,none,none,none,none,none,none,none,none,none,none,none,none
university,"went there for the books, left without brain cells",study date 💕,"hey. just working, working hard so i can please you",reading in cafes 📖 ,hot girl stuff 🔥,coffee + books = 💌,none,none,none,none,none,none,none,none,none,none,none,none
school,"went there for the books, left without brain cells",study date 💕,"hey. just working, working hard so i can please you",reading in cafes 📖 ,hot girl stuff 🔥,coffee + books = 💌,none,none,none,none,none,none,none,none,none,none,none,none
coffee,"went there for the books, left without brain cells",study date 💕,"hey. just working, working hard so i can please you",reading in cafes 📖 ,hot girl stuff 🔥,coffee + books = 💌,none,none,none,none,none,none,none,none,none,none,none,none
food,Eat brunch.,Brunch is everything I need it to be.,"This weekend, I'm all about brunch and Netflix.",Life without friends is just breakfast alone.,b*tches who brunch,Work hard. Brunch harder.,hugs and quiches,Turn down for brunch,"Save water, drink champagne",You had me at brunch,"And on the seventh day, God gave us brunch",life lately~,photo dump ,pinterest *insert food name*,cheat day,the way to my ❤️,none,none
breakfast,Eat brunch.,Brunch is everything I need it to be.,"This weekend, I'm all about brunch and Netflix.",Life without friends is just breakfast alone.,b*tches who brunch,Work hard. Brunch harder.,hugs and quiches,Turn down for brunch,"Save water, drink champagne",You had me at brunch,"And on the seventh day, God gave us brunch",life lately~,photo dump ,pinterest *insert food name*,cheat day,the way to my ❤️,none,none
brunch,Eat brunch.,Brunch is everything I need it to be.,"This weekend, I'm all about brunch and Netflix.",Life without friends is just breakfast alone.,b*tches who brunch,Work hard. Brunch harder.,hugs and quiches,Turn down for brunch,"Save water, drink champagne",You had me at brunch,"And on the seventh day, God gave us brunch",life lately~,photo dump ,pinterest *insert food name*,cheat day,the way to my ❤️,none,none
lunch,Eat brunch.,Brunch is everything I need it to be.,"This weekend, I'm all about brunch and Netflix.",Life without friends is just breakfast alone.,b*tches who brunch,Work hard. Brunch harder.,hugs and quiches,Turn down for brunch,"Save water, drink champagne",You had me at brunch,"And on the seventh day, God gave us brunch",life lately~,photo dump ,pinterest *insert food name*,cheat day,the way to my ❤️,none,none
dinner,Eat brunch.,Brunch is everything I need it to be.,"This weekend, I'm all about brunch and Netflix.",Life without friends is just breakfast alone.,b*tches who brunch,Work hard. Brunch harder.,hugs and quiches,Turn down for brunch,"Save water, drink champagne",You had me at brunch,"And on the seventh day, God gave us brunch",life lately~,photo dump ,pinterest *insert food name*,cheat day,the way to my ❤️,none,none
water,"Aruba, Jamaica, ooo i wanna take ya",gold rush 🌞,*insert name* (taylor’s version),the vibe is immaculate ,beach day,sunset street,back in the 2014 tumblr days,all smiles over here 😌,baby blue 💙,none,none,none,none,none,none,none,none,none
ocean,"Aruba, Jamaica, ooo i wanna take ya",gold rush 🌞,*insert name* (taylor’s version),the vibe is immaculate ,beach day,sunset street,back in the 2014 tumblr days,all smiles over here 😌,baby blue 💙,none,none,none,none,none,none,none,none,none
sand,"Aruba, Jamaica, ooo i wanna take ya",gold rush 🌞,*insert name* (taylor’s version),the vibe is immaculate ,beach day,sunset street,back in the 2014 tumblr days,all smiles over here 😌,baby blue 💙,none,none,none,none,none,none,none,none,none
sunny,"Aruba, Jamaica, ooo i wanna take ya",gold rush 🌞,*insert name* (taylor’s version),the vibe is immaculate ,beach day,sunset street,back in the 2014 tumblr days,all smiles over here 😌,baby blue 💙,none,none,none,none,none,none,none,none,none
